Month,Global,European
199705,-0.0868,-0.2585
199706,0.1111,0.2191
199707,-0.0218,-0.4262
199708,0.0061,0.5209
199709,0.0778,-0.4807
199710,0.1563,-1.0925
199711,0.1921,0.3621
199712,0.1271,0.2254
199801,0.0712,1.5596
199802,0.3016,1.1471
199803,0.1131,-0.6602
199804,0.2619,-0.0925
199805,0.3072,-0.0445
199806,0.3221,0.5751
199807,0.2932,-0.1792
199808,0.3191,-0.3341
199809,0.1188,0.0633
199810,0.0123,-0.1095
199811,-0.0559,-2.3969
199812,0.0901,-0.9286
199901,-0.0538,0.6066
199902,0.1326,-0.1359
199903,-0.1929,0.7468
199904,-0.1201,1.2025
199905,-0.1668,-0.6025
199906,-0.0479,1.3641
199907,-0.0348,0.9488
199908,-0.0359,-0.1511
199909,-0.0112,1.4023
199910,-0.0547,0.5915
199911,-0.0949,-0.4459
199912,-0.0319,0.8594
200001,-0.2408,-0.3074
200002,0.0616,2.0661
200003,0.0081,0.4008
200004,0.1139,1.7365
200005,-0.0408,0.6245
200006,-0.0019,0.2311
200007,-0.0188,-0.4572
200008,0.0481,0.1979
200009,0.0098,-0.2507
200010,-0.1147,1.1635
200011,-0.1089,2.0621
200012,-0.1569,2.0274
200101,-0.0388,2.1046
200102,-0.0654,0.2281
200103,0.0761,0.5448
200104,0.0549,0.4765
200105,0.1732,-0.0645
200106,0.1151,-0.2039
200107,0.1812,1.2408
200108,0.1741,0.7309
200109,0.1368,-0.0587
200110,0.1253,1.4785
200111,0.3031,-0.4679
200112,0.2071,-2.7706
200201,0.2822,0.2456
200202,0.2266,3.6171
200203,0.4251,1.6958
200204,0.1579,0.4545
200205,0.2842,0.7245
200206,0.2321,0.9931
200207,0.2162,0.9688
200208,0.1441,0.4919
200209,0.2048,-0.2507
200210,0.1723,-1.1515
200211,0.2241,0.3651
200212,0.1071,-2.3026
200301,0.3202,-0.8634
200302,0.1226,-1.5609
200303,0.0611,0.0048
200304,0.1259,-0.6535
200305,0.2012,1.6195
200306,0.0901,0.9801
200307,0.1632,1.2228
200308,0.2741,1.3379
200309,0.3168,0.0883
200310,0.3813,-1.1145
200311,0.2311,1.5131
200312,0.4111,0.9994
200401,0.1622,-0.4914
200402,0.2446,0.5521
200403,0.2231,0.6168
200404,0.1989,0.3125
200405,-0.0328,-0.9255
200406,0.0721,-0.3089
200407,-0.1058,-0.2832
200408,0.0711,0.4409
200409,0.2308,0.5733
200410,0.2883,0.8305
200411,0.3431,-0.0449
200412,0.1221,1.3704
200501,0.3692,1.9106
200502,0.2416,-1.2859
200503,0.3241,-1.6812
200504,0.3349,0.5875
200505,0.3242,0.3825
200506,0.3321,0.1991
200507,0.3102,0.6368
200508,0.2771,-0.0131
200509,0.4118,0.9053
200510,0.4833,0.7695
200511,0.4391,0.7751
200512,0.3601,0.2674
200601,0.2202,-1.7074
200602,0.3536,-1.7419
200603,0.2861,-1.8212
200604,0.2229,0.6735
200605,0.1892,0.3135
200606,0.3041,1.0341
200607,0.2402,1.1978
200608,0.3001,0.4059
200609,0.2618,1.5443
200610,0.3793,1.4355
200611,0.3471,1.4541
200612,0.4211,2.9474
200701,0.5382,2.9366
200702,0.2916,-0.1049
200703,0.2311,2.5088
200704,0.3819,0.9175
200705,0.2692,1.1975
200706,0.1661,1.1481
200707,0.1852,0.2748
200708,0.1861,0.8859
200709,0.1268,-0.1907
200710,0.2303,0.5325
200711,0.1831,-0.5769
200712,0.0871,1.1644
200801,-0.1988,1.5546
200802,-0.1544,2.6271
200803,0.2001,1.0598
200804,0.0899,0.8555
200805,0.0792,-0.0495
200806,-0.0129,0.3201
200807,0.1432,0.0108
200808,0.1081,0.3529
200809,0.1808,-0.5617
